Time and date,II,PLETH
12:12:07.380 07/10/1995,0.031,-0.451
12:12:07.382 07/10/1995,0.025,-0.451
12:12:07.384 07/10/1995,0.018,-0.456
12:12:07.386 07/10/1995,0.012,-0.456
12:12:07.388 07/10/1995,0.004,-0.456
12:12:07.390 07/10/1995,-0.004,-0.456
12:12:07.392 07/10/1995,-0.014,-0.449
12:12:07.394 07/10/1995,-0.024,-0.449
12:12:07.396 07/10/1995,-0.034,-0.449
12:12:07.398 07/10/1995,-0.044,-0.449
12:12:07.400 07/10/1995,-0.055,-0.437
12:12:07.402 07/10/1995,-0.065,-0.437
12:12:07.404 07/10/1995,-0.074,-0.437
12:12:07.406 07/10/1995,-0.083,-0.437
12:12:07.408 07/10/1995,-0.091,-0.415
12:12:07.410 07/10/1995,-0.098,-0.415
12:12:07.412 07/10/1995,-0.104,-0.415
12:12:07.414 07/10/1995,-0.110,-0.415
12:12:07.416 07/10/1995,-0.116,-0.375
12:12:07.418 07/10/1995,-0.121,-0.375
12:12:07.420 07/10/1995,-0.125,-0.375
12:12:07.422 07/10/1995,-0.129,-0.375
12:12:07.424 07/10/1995,-0.131,-0.325
12:12:07.426 07/10/1995,-0.133,-0.325
12:12:07.428 07/10/1995,-0.136,-0.325
12:12:07.430 07/10/1995,-0.138,-0.325
12:12:07.432 07/10/1995,-0.139,-0.259
12:12:07.434 07/10/1995,-0.139,-0.259
12:12:07.436 07/10/1995,-0.138,-0.259
12:12:07.438 07/10/1995,-0.136,-0.259
12:12:07.440 07/10/1995,-0.132,-0.178
12:12:07.442 07/10/1995,-0.129,-0.178
12:12:07.444 07/10/1995,-0.122,-0.178
12:12:07.446 07/10/1995,-0.116,-0.178
12:12:07.448 07/10/1995,-0.109,-0.086
12:12:07.450 07/10/1995,-0.102,-0.086
12:12:07.452 07/10/1995,-0.095,-0.086
12:12:07.454 07/10/1995,-0.089,-0.086
12:12:07.456 07/10/1995,-0.083,0.009
12:12:07.458 07/10/1995,-0.077,0.009
12:12:07.460 07/10/1995,-0.072,0.009
12:12:07.462 07/10/1995,-0.067,0.009
12:12:07.464 07/10/1995,-0.064,0.110
12:12:07.466 07/10/1995,-0.060,0.110
12:12:07.468 07/10/1995,-0.058,0.110
12:12:07.470 07/10/1995,-0.055,0.110
12:12:07.472 07/10/1995,-0.051,0.207
12:12:07.474 07/10/1995,-0.048,0.207
12:12:07.476 07/10/1995,-0.043,0.207
12:12:07.478 07/10/1995,-0.039,0.207
12:12:07.480 07/10/1995,-0.035,0.292
12:12:07.482 07/10/1995,-0.031,0.292
12:12:07.484 07/10/1995,-0.029,0.292
12:12:07.486 07/10/1995,-0.027,0.292
12:12:07.488 07/10/1995,-0.026,0.363
12:12:07.490 07/10/1995,-0.026,0.363
12:12:07.492 07/10/1995,-0.025,0.363
12:12:07.494 07/10/1995,-0.025,0.363
12:12:07.496 07/10/1995,-0.024,0.418
12:12:07.498 07/10/1995,-0.024,0.418
12:12:07.500 07/10/1995,-0.024,0.418
12:12:07.502 07/10/1995,-0.024,0.418
12:12:07.504 07/10/1995,-0.023,0.459
12:12:07.506 07/10/1995,-0.023,0.459
12:12:07.508 07/10/1995,-0.022,0.459
12:12:07.510 07/10/1995,-0.021,0.459
12:12:07.512 07/10/1995,-0.020,0.477
12:12:07.514 07/10/1995,-0.019,0.477
12:12:07.516 07/10/1995,-0.019,0.477
12:12:07.518 07/10/1995,-0.019,0.477
12:12:07.520 07/10/1995,-0.018,0.480
12:12:07.522 07/10/1995,-0.017,0.480
12:12:07.524 07/10/1995,-0.017,0.480
12:12:07.526 07/10/1995,-0.016,0.480
12:12:07.528 07/10/1995,-0.015,0.470
12:12:07.530 07/10/1995,-0.014,0.470
12:12:07.532 07/10/1995,-0.012,0.470
12:12:07.534 07/10/1995,-0.011,0.470
12:12:07.536 07/10/1995,-0.006,0.449
12:12:07.538 07/10/1995,-0.001,0.449
12:12:07.540 07/10/1995,0.007,0.449
12:12:07.542 07/10/1995,0.015,0.449
12:12:07.544 07/10/1995,0.026,0.416
12:12:07.546 07/10/1995,0.037,0.416
12:12:07.548 07/10/1995,0.048,0.416
12:12:07.550 07/10/1995,0.059,0.416
12:12:07.552 07/10/1995,0.069,0.378
12:12:07.554 07/10/1995,0.079,0.378
12:12:07.556 07/10/1995,0.086,0.378
12:12:07.558 07/10/1995,0.093,0.378
12:12:07.560 07/10/1995,0.097,0.335
12:12:07.562 07/10/1995,0.100,0.335
12:12:07.564 07/10/1995,0.106,0.335
12:12:07.566 07/10/1995,0.111,0.335
12:12:07.568 07/10/1995,0.119,0.287
12:12:07.570 07/10/1995,0.127,0.287
12:12:07.572 07/10/1995,0.136,0.287
12:12:07.574 07/10/1995,0.144,0.287
12:12:07.576 07/10/1995,0.146,0.242
12:12:07.578 07/10/1995,0.149,0.242
12:12:07.580 07/10/1995,0.143,0.242
12:12:07.582 07/10/1995,0.136,0.242
12:12:07.584 07/10/1995,0.123,0.198
12:12:07.586 07/10/1995,0.109,0.198
12:12:07.588 07/10/1995,0.093,0.198
12:12:07.590 07/10/1995,0.077,0.198
12:12:07.592 07/10/1995,0.065,0.154
12:12:07.594 07/10/1995,0.053,0.154
12:12:07.596 07/10/1995,0.048,0.154
12:12:07.598 07/10/1995,0.043,0.154
12:12:07.600 07/10/1995,0.040,0.117
12:12:07.602 07/10/1995,0.038,0.117
12:12:07.604 07/10/1995,0.035,0.117
12:12:07.606 07/10/1995,0.031,0.117
12:12:07.608 07/10/1995,0.024,0.086
12:12:07.610 07/10/1995,0.016,0.086
12:12:07.612 07/10/1995,0.005,0.086
12:12:07.614 07/10/1995,-0.006,0.086
12:12:07.616 07/10/1995,-0.020,0.052
12:12:07.618 07/10/1995,-0.033,0.052
12:12:07.620 07/10/1995,-0.047,0.052
12:12:07.622 07/10/1995,-0.060,0.052
12:12:07.624 07/10/1995,-0.073,0.029
12:12:07.626 07/10/1995,-0.085,0.029
12:12:07.628 07/10/1995,-0.095,0.029
12:12:07.630 07/10/1995,-0.105,0.029
12:12:07.632 07/10/1995,-0.112,0.003
12:12:07.634 07/10/1995,-0.119,0.003
12:12:07.636 07/10/1995,-0.123,0.003
12:12:07.638 07/10/1995,-0.127,0.003
12:12:07.640 07/10/1995,-0.131,-0.014
12:12:07.642 07/10/1995,-0.134,-0.014
12:12:07.644 07/10/1995,-0.137,-0.014
12:12:07.646 07/10/1995,-0.139,-0.014
12:12:07.648 07/10/1995,-0.141,-0.033
12:12:07.650 07/10/1995,-0.144,-0.033
12:12:07.652 07/10/1995,-0.145,-0.033
12:12:07.654 07/10/1995,-0.147,-0.033
12:12:07.656 07/10/1995,-0.149,-0.052
12:12:07.658 07/10/1995,-0.151,-0.052
12:12:07.660 07/10/1995,-0.153,-0.052
12:12:07.662 07/10/1995,-0.154,-0.052
12:12:07.664 07/10/1995,-0.154,-0.069
12:12:07.666 07/10/1995,-0.153,-0.069
12:12:07.668 07/10/1995,-0.152,-0.069
12:12:07.670 07/10/1995,-0.150,-0.069
12:12:07.672 07/10/1995,-0.148,-0.087
12:12:07.674 07/10/1995,-0.146,-0.087
12:12:07.676 07/10/1995,-0.144,-0.087
12:12:07.678 07/10/1995,-0.141,-0.087
12:12:07.680 07/10/1995,-0.140,-0.104
12:12:07.682 07/10/1995,-0.138,-0.104
12:12:07.684 07/10/1995,-0.136,-0.104
12:12:07.686 07/10/1995,-0.134,-0.104
12:12:07.688 07/10/1995,-0.132,-0.121
12:12:07.690 07/10/1995,-0.130,-0.121
12:12:07.692 07/10/1995,-0.128,-0.121
12:12:07.694 07/10/1995,-0.126,-0.121
12:12:07.696 07/10/1995,-0.126,-0.138
12:12:07.698 07/10/1995,-0.126,-0.138
12:12:07.700 07/10/1995,-0.127,-0.138
12:12:07.702 07/10/1995,-0.127,-0.138
12:12:07.704 07/10/1995,-0.129,-0.152
12:12:07.706 07/10/1995,-0.131,-0.152
12:12:07.708 07/10/1995,-0.133,-0.152
12:12:07.710 07/10/1995,-0.135,-0.152
12:12:07.712 07/10/1995,-0.134,-0.166
12:12:07.714 07/10/1995,-0.134,-0.166
12:12:07.716 07/10/1995,-0.132,-0.166
12:12:07.718 07/10/1995,-0.131,-0.166
12:12:07.720 07/10/1995,-0.125,-0.182
12:12:07.722 07/10/1995,-0.120,-0.182
12:12:07.724 07/10/1995,-0.106,-0.182
12:12:07.726 07/10/1995,-0.092,-0.182
12:12:07.728 07/10/1995,-0.061,-0.192
12:12:07.730 07/10/1995,-0.030,-0.192
12:12:07.732 07/10/1995,0.026,-0.192
12:12:07.734 07/10/1995,0.082,-0.192
12:12:07.736 07/10/1995,0.161,-0.204
12:12:07.738 07/10/1995,0.241,-0.204
12:12:07.740 07/10/1995,0.329,-0.204
12:12:07.742 07/10/1995,0.417,-0.204
12:12:07.744 07/10/1995,0.491,-0.213
12:12:07.746 07/10/1995,0.566,-0.213
12:12:07.748 07/10/1995,0.605,-0.213
12:12:07.750 07/10/1995,0.644,-0.213
12:12:07.752 07/10/1995,0.637,-0.221
12:12:07.754 07/10/1995,0.630,-0.221
12:12:07.756 07/10/1995,0.584,-0.221
12:12:07.758 07/10/1995,0.538,-0.221
12:12:07.760 07/10/1995,0.472,-0.228
12:12:07.762 07/10/1995,0.407,-0.228
12:12:07.764 07/10/1995,0.344,-0.228
12:12:07.766 07/10/1995,0.281,-0.228
12:12:07.768 07/10/1995,0.236,-0.235
12:12:07.770 07/10/1995,0.191,-0.235
12:12:07.772 07/10/1995,0.169,-0.235
12:12:07.774 07/10/1995,0.147,-0.235
12:12:07.776 07/10/1995,0.144,-0.235
12:12:07.778 07/10/1995,0.141,-0.235
12:12:07.780 07/10/1995,0.150,-0.235
12:12:07.782 07/10/1995,0.159,-0.235
12:12:07.784 07/10/1995,0.167,-0.240
12:12:07.786 07/10/1995,0.175,-0.240
12:12:07.788 07/10/1995,0.180,-0.240
12:12:07.790 07/10/1995,0.185,-0.240
12:12:07.792 07/10/1995,0.189,-0.248
12:12:07.794 07/10/1995,0.193,-0.248
12:12:07.796 07/10/1995,0.202,-0.248
12:12:07.798 07/10/1995,0.211,-0.248
12:12:07.800 07/10/1995,0.225,-0.258
12:12:07.802 07/10/1995,0.239,-0.258
12:12:07.804 07/10/1995,0.252,-0.258
12:12:07.806 07/10/1995,0.265,-0.258
12:12:07.808 07/10/1995,0.266,-0.263
12:12:07.810 07/10/1995,0.267,-0.263
12:12:07.812 07/10/1995,0.251,-0.263
12:12:07.814 07/10/1995,0.234,-0.263
12:12:07.816 07/10/1995,0.203,-0.273
12:12:07.818 07/10/1995,0.172,-0.273
12:12:07.820 07/10/1995,0.134,-0.273
12:12:07.822 07/10/1995,0.096,-0.273
12:12:07.824 07/10/1995,0.064,-0.281
12:12:07.826 07/10/1995,0.032,-0.281
12:12:07.828 07/10/1995,0.009,-0.281
12:12:07.830 07/10/1995,-0.015,-0.281
12:12:07.832 07/10/1995,-0.030,-0.288
12:12:07.834 07/10/1995,-0.045,-0.288
12:12:07.836 07/10/1995,-0.055,-0.288
12:12:07.838 07/10/1995,-0.064,-0.288
12:12:07.840 07/10/1995,-0.068,-0.298
12:12:07.842 07/10/1995,-0.072,-0.298
12:12:07.844 07/10/1995,-0.075,-0.298
12:12:07.846 07/10/1995,-0.077,-0.298
12:12:07.848 07/10/1995,-0.078,-0.308
12:12:07.850 07/10/1995,-0.079,-0.308
12:12:07.852 07/10/1995,-0.079,-0.308
12:12:07.854 07/10/1995,-0.080,-0.308
12:12:07.856 07/10/1995,-0.080,-0.317
12:12:07.858 07/10/1995,-0.080,-0.317
12:12:07.860 07/10/1995,-0.081,-0.317
12:12:07.862 07/10/1995,-0.082,-0.317
12:12:07.864 07/10/1995,-0.083,-0.327
12:12:07.866 07/10/1995,-0.084,-0.327
12:12:07.868 07/10/1995,-0.083,-0.327
12:12:07.870 07/10/1995,-0.082,-0.327
12:12:07.872 07/10/1995,-0.081,-0.337
12:12:07.874 07/10/1995,-0.080,-0.337
12:12:07.876 07/10/1995,-0.079,-0.337
12:12:07.878 07/10/1995,-0.079,-0.337
12:12:07.880 07/10/1995,-0.079,-0.344
12:12:07.882 07/10/1995,-0.079,-0.344
12:12:07.884 07/10/1995,-0.078,-0.344
12:12:07.886 07/10/1995,-0.078,-0.344
12:12:07.888 07/10/1995,-0.076,-0.354
12:12:07.890 07/10/1995,-0.075,-0.354
12:12:07.892 07/10/1995,-0.073,-0.354
12:12:07.894 07/10/1995,-0.071,-0.354
12:12:07.896 07/10/1995,-0.070,-0.364
12:12:07.898 07/10/1995,-0.069,-0.364
12:12:07.900 07/10/1995,-0.066,-0.364
12:12:07.902 07/10/1995,-0.064,-0.364
12:12:07.904 07/10/1995,-0.061,-0.369
12:12:07.906 07/10/1995,-0.058,-0.369
12:12:07.908 07/10/1995,-0.057,-0.369
12:12:07.910 07/10/1995,-0.055,-0.369
12:12:07.912 07/10/1995,-0.052,-0.382
12:12:07.914 07/10/1995,-0.050,-0.382
12:12:07.916 07/10/1995,-0.045,-0.382
12:12:07.918 07/10/1995,-0.041,-0.382
12:12:07.920 07/10/1995,-0.037,-0.387
12:12:07.922 07/10/1995,-0.032,-0.387
12:12:07.924 07/10/1995,-0.028,-0.387
12:12:07.926 07/10/1995,-0.024,-0.387
12:12:07.928 07/10/1995,-0.019,-0.395
12:12:07.930 07/10/1995,-0.015,-0.395
12:12:07.932 07/10/1995,-0.010,-0.395
12:12:07.934 07/10/1995,-0.005,-0.395
12:12:07.936 07/10/1995,-0.001,-0.405
12:12:07.938 07/10/1995,0.004,-0.405
12:12:07.940 07/10/1995,0.009,-0.405
12:12:07.942 07/10/1995,0.014,-0.405
12:12:07.944 07/10/1995,0.018,-0.412
12:12:07.946 07/10/1995,0.022,-0.412
12:12:07.948 07/10/1995,0.025,-0.412
12:12:07.950 07/10/1995,0.029,-0.412
12:12:07.952 07/10/1995,0.033,-0.420
12:12:07.954 07/10/1995,0.038,-0.420
12:12:07.956 07/10/1995,0.043,-0.420
12:12:07.958 07/10/1995,0.049,-0.420
12:12:07.960 07/10/1995,0.052,-0.427
12:12:07.962 07/10/1995,0.056,-0.427
12:12:07.964 07/10/1995,0.059,-0.427
12:12:07.966 07/10/1995,0.062,-0.427
12:12:07.968 07/10/1995,0.064,-0.438
12:12:07.970 07/10/1995,0.066,-0.438
12:12:07.972 07/10/1995,0.066,-0.438
12:12:07.974 07/10/1995,0.067,-0.438
12:12:07.976 07/10/1995,0.066,-0.448
12:12:07.978 07/10/1995,0.065,-0.448
12:12:07.980 07/10/1995,0.062,-0.448
12:12:07.982 07/10/1995,0.058,-0.448
12:12:07.984 07/10/1995,0.053,-0.456
12:12:07.986 07/10/1995,0.049,-0.456
12:12:07.988 07/10/1995,0.042,-0.456
12:12:07.990 07/10/1995,0.036,-0.456
12:12:07.992 07/10/1995,0.029,-0.461
12:12:07.994 07/10/1995,0.022,-0.461
12:12:07.996 07/10/1995,0.013,-0.461
12:12:07.998 07/10/1995,0.004,-0.461
12:12:08.000 07/10/1995,-0.006,-0.458
12:12:08.002 07/10/1995,-0.016,-0.458
12:12:08.004 07/10/1995,-0.029,-0.458
12:12:08.006 07/10/1995,-0.042,-0.458
12:12:08.008 07/10/1995,-0.055,-0.448
12:12:08.010 07/10/1995,-0.068,-0.448
12:12:08.012 07/10/1995,-0.079,-0.448
12:12:08.014 07/10/1995,-0.091,-0.448
12:12:08.016 07/10/1995,-0.102,-0.427
12:12:08.018 07/10/1995,-0.113,-0.427
12:12:08.020 07/10/1995,-0.123,-0.427
12:12:08.022 07/10/1995,-0.132,-0.427
12:12:08.024 07/10/1995,-0.138,-0.398
12:12:08.026 07/10/1995,-0.144,-0.398
12:12:08.028 07/10/1995,-0.147,-0.398
12:12:08.030 07/10/1995,-0.151,-0.398
12:12:08.032 07/10/1995,-0.151,-0.346
12:12:08.034 07/10/1995,-0.150,-0.346
12:12:08.036 07/10/1995,-0.147,-0.346
12:12:08.038 07/10/1995,-0.145,-0.346
12:12:08.040 07/10/1995,-0.141,-0.281
12:12:08.042 07/10/1995,-0.137,-0.281
12:12:08.044 07/10/1995,-0.133,-0.281
12:12:08.046 07/10/1995,-0.129,-0.281
12:12:08.048 07/10/1995,-0.125,-0.203
12:12:08.050 07/10/1995,-0.121,-0.203
12:12:08.052 07/10/1995,-0.117,-0.203
12:12:08.054 07/10/1995,-0.113,-0.203
12:12:08.056 07/10/1995,-0.110,-0.108
12:12:08.058 07/10/1995,-0.107,-0.108
12:12:08.060 07/10/1995,-0.107,-0.108
12:12:08.062 07/10/1995,-0.107,-0.108
12:12:08.064 07/10/1995,-0.110,-0.010
12:12:08.066 07/10/1995,-0.112,-0.010
12:12:08.068 07/10/1995,-0.116,-0.010
12:12:08.070 07/10/1995,-0.120,-0.010
12:12:08.072 07/10/1995,-0.121,0.097
12:12:08.074 07/10/1995,-0.122,0.097
12:12:08.076 07/10/1995,-0.120,0.097
12:12:08.078 07/10/1995,-0.118,0.097
12:12:08.080 07/10/1995,-0.113,0.195
12:12:08.082 07/10/1995,-0.108,0.195
12:12:08.084 07/10/1995,-0.103,0.195
12:12:08.086 07/10/1995,-0.097,0.195
12:12:08.088 07/10/1995,-0.091,0.291
12:12:08.090 07/10/1995,-0.084,0.291
12:12:08.092 07/10/1995,-0.079,0.291
12:12:08.094 07/10/1995,-0.075,0.291
12:12:08.096 07/10/1995,-0.072,0.372
12:12:08.098 07/10/1995,-0.070,0.372
12:12:08.100 07/10/1995,-0.069,0.372
12:12:08.102 07/10/1995,-0.068,0.372
12:12:08.104 07/10/1995,-0.067,0.438
12:12:08.106 07/10/1995,-0.067,0.438
12:12:08.108 07/10/1995,-0.069,0.438
12:12:08.110 07/10/1995,-0.070,0.438
12:12:08.112 07/10/1995,-0.072,0.483
12:12:08.114 07/10/1995,-0.075,0.483
12:12:08.116 07/10/1995,-0.075,0.483
12:12:08.118 07/10/1995,-0.076,0.483
12:12:08.120 07/10/1995,-0.075,0.514
12:12:08.122 07/10/1995,-0.075,0.514
12:12:08.124 07/10/1995,-0.073,0.514
12:12:08.126 07/10/1995,-0.071,0.514
12:12:08.128 07/10/1995,-0.069,0.521
12:12:08.130 07/10/1995,-0.067,0.521
12:12:08.132 07/10/1995,-0.065,0.521
12:12:08.134 07/10/1995,-0.063,0.521
12:12:08.136 07/10/1995,-0.061,0.516
12:12:08.138 07/10/1995,-0.059,0.516
12:12:08.140 07/10/1995,-0.059,0.516
12:12:08.142 07/10/1995,-0.058,0.516
12:12:08.144 07/10/1995,-0.057,0.496
12:12:08.146 07/10/1995,-0.055,0.496
12:12:08.148 07/10/1995,-0.051,0.496
12:12:08.150 07/10/1995,-0.048,0.496
12:12:08.152 07/10/1995,-0.040,0.466
12:12:08.154 07/10/1995,-0.032,0.466
12:12:08.156 07/10/1995,-0.022,0.466
12:12:08.158 07/10/1995,-0.011,0.466
12:12:08.160 07/10/1995,0.001,0.425
12:12:08.162 07/10/1995,0.012,0.425
12:12:08.164 07/10/1995,0.022,0.425
12:12:08.166 07/10/1995,0.031,0.425
12:12:08.168 07/10/1995,0.038,0.383
12:12:08.170 07/10/1995,0.045,0.383
12:12:08.172 07/10/1995,0.049,0.383
12:12:08.174 07/10/1995,0.053,0.383
12:12:08.176 07/10/1995,0.055,0.332
12:12:08.178 07/10/1995,0.056,0.332
12:12:08.180 07/10/1995,0.058,0.332
12:12:08.182 07/10/1995,0.060,0.332
12:12:08.184 07/10/1995,0.063,0.281
12:12:08.186 07/10/1995,0.066,0.281
12:12:08.188 07/10/1995,0.066,0.281
12:12:08.190 07/10/1995,0.067,0.281
12:12:08.192 07/10/1995,0.063,0.231
12:12:08.194 07/10/1995,0.059,0.231
12:12:08.196 07/10/1995,0.052,0.231
12:12:08.198 07/10/1995,0.044,0.231
12:12:08.200 07/10/1995,0.037,0.185
12:12:08.202 07/10/1995,0.029,0.185
12:12:08.204 07/10/1995,0.024,0.185
12:12:08.206 07/10/1995,0.018,0.185
12:12:08.208 07/10/1995,0.016,0.142
12:12:08.210 07/10/1995,0.014,0.142
12:12:08.212 07/10/1995,0.011,0.142
12:12:08.214 07/10/1995,0.009,0.142
12:12:08.216 07/10/1995,0.001,0.104
12:12:08.218 07/10/1995,-0.006,0.104
12:12:08.220 07/10/1995,-0.020,0.104
12:12:08.222 07/10/1995,-0.033,0.104
12:12:08.224 07/10/1995,-0.050,0.066
12:12:08.226 07/10/1995,-0.066,0.066
12:12:08.228 07/10/1995,-0.082,0.066
12:12:08.230 07/10/1995,-0.097,0.066
12:12:08.232 07/10/1995,-0.110,0.035
12:12:08.234 07/10/1995,-0.122,0.035
12:12:08.236 07/10/1995,-0.133,0.035
12:12:08.238 07/10/1995,-0.145,0.035
12:12:08.240 07/10/1995,-0.154,0.005
12:12:08.242 07/10/1995,-0.164,0.005
12:12:08.244 07/10/1995,-0.172,0.005
12:12:08.246 07/10/1995,-0.179,0.005
12:12:08.248 07/10/1995,-0.184,-0.020
12:12:08.250 07/10/1995,-0.189,-0.020
12:12:08.252 07/10/1995,-0.191,-0.020
12:12:08.254 07/10/1995,-0.193,-0.020
12:12:08.256 07/10/1995,-0.194,-0.043
12:12:08.258 07/10/1995,-0.194,-0.043
12:12:08.260 07/10/1995,-0.194,-0.043
12:12:08.262 07/10/1995,-0.194,-0.043
12:12:08.264 07/10/1995,-0.194,-0.063
12:12:08.266 07/10/1995,-0.193,-0.063
12:12:08.268 07/10/1995,-0.193,-0.063
12:12:08.270 07/10/1995,-0.193,-0.063
12:12:08.272 07/10/1995,-0.194,-0.086
12:12:08.274 07/10/1995,-0.194,-0.086
12:12:08.276 07/10/1995,-0.194,-0.086
12:12:08.278 07/10/1995,-0.194,-0.086
12:12:08.280 07/10/1995,-0.194,-0.106
12:12:08.282 07/10/1995,-0.194,-0.106
12:12:08.284 07/10/1995,-0.195,-0.106
12:12:08.286 07/10/1995,-0.197,-0.106
12:12:08.288 07/10/1995,-0.197,-0.139
12:12:08.290 07/10/1995,-0.197,-0.139
12:12:08.292 07/10/1995,-0.195,-0.139
12:12:08.294 07/10/1995,-0.193,-0.139
12:12:08.296 07/10/1995,-0.191,-0.160
12:12:08.298 07/10/1995,-0.188,-0.160
12:12:08.300 07/10/1995,-0.184,-0.160
12:12:08.302 07/10/1995,-0.180,-0.160
12:12:08.304 07/10/1995,-0.177,-0.181
12:12:08.306 07/10/1995,-0.174,-0.181
12:12:08.308 07/10/1995,-0.172,-0.181
12:12:08.310 07/10/1995,-0.170,-0.181
12:12:08.312 07/10/1995,-0.168,-0.202
12:12:08.314 07/10/1995,-0.166,-0.202
12:12:08.316 07/10/1995,-0.166,-0.202
12:12:08.318 07/10/1995,-0.166,-0.202
12:12:08.320 07/10/1995,-0.168,-0.223
12:12:08.322 07/10/1995,-0.170,-0.223
12:12:08.324 07/10/1995,-0.171,-0.223
12:12:08.326 07/10/1995,-0.172,-0.223
12:12:08.328 07/10/1995,-0.172,-0.241
12:12:08.330 07/10/1995,-0.172,-0.241
12:12:08.332 07/10/1995,-0.166,-0.241
12:12:08.334 07/10/1995,-0.161,-0.241
12:12:08.336 07/10/1995,-0.144,-0.260
12:12:08.338 07/10/1995,-0.126,-0.260
12:12:08.340 07/10/1995,-0.092,-0.260
12:12:08.342 07/10/1995,-0.058,-0.260
12:12:08.344 07/10/1995,-0.005,-0.276
12:12:08.346 07/10/1995,0.048,-0.276
12:12:08.348 07/10/1995,0.116,-0.276
12:12:08.350 07/10/1995,0.184,-0.276
12:12:08.352 07/10/1995,0.254,-0.291
12:12:08.354 07/10/1995,0.324,-0.291
12:12:08.356 07/10/1995,0.376,-0.291
12:12:08.358 07/10/1995,0.428,-0.291
12:12:08.360 07/10/1995,0.447,-0.302
12:12:08.362 07/10/1995,0.465,-0.302
12:12:08.364 07/10/1995,0.447,-0.302
12:12:08.366 07/10/1995,0.429,-0.302
12:12:08.368 07/10/1995,0.383,-0.318
12:12:08.370 07/10/1995,0.337,-0.318
12:12:08.372 07/10/1995,0.284,-0.318
12:12:08.374 07/10/1995,0.231,-0.318
12:12:08.376 07/10/1995,0.191,-0.331
12:12:08.378 07/10/1995,0.150,-0.331
12:12:08.380 07/10/1995,0.129,-0.331
12:12:08.382 07/10/1995,0.107,-0.331
12:12:08.384 07/10/1995,0.103,-0.341
12:12:08.386 07/10/1995,0.098,-0.341
12:12:08.388 07/10/1995,0.105,-0.341
12:12:08.390 07/10/1995,0.111,-0.341
12:12:08.392 07/10/1995,0.120,-0.346
12:12:08.394 07/10/1995,0.129,-0.346
12:12:08.396 07/10/1995,0.134,-0.346
12:12:08.398 07/10/1995,0.139,-0.346
12:12:08.400 07/10/1995,0.140,-0.354
12:12:08.402 07/10/1995,0.140,-0.354
12:12:08.404 07/10/1995,0.137,-0.354
12:12:08.406 07/10/1995,0.134,-0.354
12:12:08.408 07/10/1995,0.133,-0.365
12:12:08.410 07/10/1995,0.132,-0.365
12:12:08.412 07/10/1995,0.135,-0.365
12:12:08.414 07/10/1995,0.138,-0.365
12:12:08.416 07/10/1995,0.140,-0.376
12:12:08.418 07/10/1995,0.143,-0.376
12:12:08.420 07/10/1995,0.138,-0.376
12:12:08.422 07/10/1995,0.134,-0.376
12:12:08.424 07/10/1995,0.119,-0.383
12:12:08.426 07/10/1995,0.104,-0.383
12:12:08.428 07/10/1995,0.077,-0.383
12:12:08.430 07/10/1995,0.051,-0.383
12:12:08.432 07/10/1995,0.020,-0.389
12:12:08.434 07/10/1995,-0.011,-0.389
12:12:08.436 07/10/1995,-0.038,-0.389
12:12:08.438 07/10/1995,-0.065,-0.389
12:12:08.440 07/10/1995,-0.084,-0.397
12:12:08.442 07/10/1995,-0.103,-0.397
12:12:08.444 07/10/1995,-0.112,-0.397
12:12:08.446 07/10/1995,-0.122,-0.397
12:12:08.448 07/10/1995,-0.125,-0.404
12:12:08.450 07/10/1995,-0.129,-0.404
12:12:08.452 07/10/1995,-0.128,-0.404
12:12:08.454 07/10/1995,-0.127,-0.404
12:12:08.456 07/10/1995,-0.127,-0.412
12:12:08.458 07/10/1995,-0.126,-0.412
12:12:08.460 07/10/1995,-0.126,-0.412
12:12:08.462 07/10/1995,-0.126,-0.412
12:12:08.464 07/10/1995,-0.126,-0.414
12:12:08.466 07/10/1995,-0.125,-0.414
12:12:08.468 07/10/1995,-0.124,-0.414
12:12:08.470 07/10/1995,-0.123,-0.414
12:12:08.472 07/10/1995,-0.123,-0.422
12:12:08.474 07/10/1995,-0.122,-0.422
12:12:08.476 07/10/1995,-0.124,-0.422
12:12:08.478 07/10/1995,-0.125,-0.422
12:12:08.480 07/10/1995,-0.129,-0.430
12:12:08.482 07/10/1995,-0.132,-0.430
12:12:08.484 07/10/1995,-0.136,-0.430
12:12:08.486 07/10/1995,-0.139,-0.430
12:12:08.488 07/10/1995,-0.140,-0.439
12:12:08.490 07/10/1995,-0.141,-0.439
12:12:08.492 07/10/1995,-0.139,-0.439
12:12:08.494 07/10/1995,-0.136,-0.439
12:12:08.496 07/10/1995,-0.131,-0.444
12:12:08.498 07/10/1995,-0.126,-0.444
12:12:08.500 07/10/1995,-0.121,-0.444
12:12:08.502 07/10/1995,-0.117,-0.444
12:12:08.504 07/10/1995,-0.114,-0.454
12:12:08.506 07/10/1995,-0.111,-0.454
12:12:08.508 07/10/1995,-0.111,-0.454
12:12:08.510 07/10/1995,-0.110,-0.454
12:12:08.512 07/10/1995,-0.111,-0.462
12:12:08.514 07/10/1995,-0.111,-0.462
12:12:08.516 07/10/1995,-0.112,-0.462
12:12:08.518 07/10/1995,-0.112,-0.462
12:12:08.520 07/10/1995,-0.114,-0.467
12:12:08.522 07/10/1995,-0.116,-0.467
12:12:08.524 07/10/1995,-0.117,-0.467
12:12:08.526 07/10/1995,-0.118,-0.467
